sample_id,cell_id,cell_name,nwb_file_name
20180912_sample_2,HNXRO-2,sub-mouse-HNXRO_ses-20180912-sample-2_slice-20180912-slice-2_cell-20180912-sample-2_icephys,sub-mouse-HNXRO_ses-20180912-sample-2_slice-20180912-slice-2_cell-20180912-sample-2_icephys.nwb
20180912_sample_3,HNXRO-3,sub-mouse-HNXRO_ses-20180912-sample-3_slice-20180912-slice-3_cell-20180912-sample-3_icephys,sub-mouse-HNXRO_ses-20180912-sample-3_slice-20180912-slice-3_cell-20180912-sample-3_icephys.nwb
20180912_sample_6,HNXRO-6,sub-mouse-HNXRO_ses-20180912-sample-6_slice-20180912-slice-6_cell-20180912-sample-6_icephys,sub-mouse-HNXRO_ses-20180912-sample-6_slice-20180912-slice-6_cell-20180912-sample-6_icephys.nwb
20180913_sample_2,VWBJB-2,sub-mouse-VWBJB_ses-20180913-sample-2_slice-20180913-slice-2_cell-20180913-sample-2_icephys,sub-mouse-VWBJB_ses-20180913-sample-2_slice-20180913-slice-2_cell-20180913-sample-2_icephys.nwb
20180917_sample_1,ZQHAI-1,sub-mouse-ZQHAI_ses-20180917-sample-1_slice-20180917-slice-1_cell-20180917-sample-1_icephys,sub-mouse-ZQHAI_ses-20180917-sample-1_slice-20180917-slice-1_cell-20180917-sample-1_icephys.nwb
20180917_sample_2,ZQHAI-2,sub-mouse-ZQHAI_ses-20180917-sample-2_slice-20180917-slice-2_cell-20180917-sample-2_icephys,sub-mouse-ZQHAI_ses-20180917-sample-2_slice-20180917-slice-2_cell-20180917-sample-2_icephys.nwb
20180917_sample_3,ZQHAI-3,sub-mouse-ZQHAI_ses-20180917-sample-3_slice-20180917-slice-3_cell-20180917-sample-3_icephys,sub-mouse-ZQHAI_ses-20180917-sample-3_slice-20180917-slice-3_cell-20180917-sample-3_icephys.nwb
20180917_sample_4,ZQHAI-4,sub-mouse-ZQHAI_ses-20180917-sample-4_slice-20180917-slice-4_cell-20180917-sample-4_icephys,sub-mouse-ZQHAI_ses-20180917-sample-4_slice-20180917-slice-4_cell-20180917-sample-4_icephys.nwb
20180917_sample_5,ZQHAI-5,sub-mouse-ZQHAI_ses-20180917-sample-5_slice-20180917-slice-5_cell-20180917-sample-5_icephys,sub-mouse-ZQHAI_ses-20180917-sample-5_slice-20180917-slice-5_cell-20180917-sample-5_icephys.nwb
20180918_sample_1,KVPGJ-1,sub-mouse-KVPGJ_ses-20180918-sample-1_slice-20180918-slice-1_cell-20180918-sample-1_icephys,sub-mouse-KVPGJ_ses-20180918-sample-1_slice-20180918-slice-1_cell-20180918-sample-1_icephys.nwb
20180918_sample_2,KVPGJ-2,sub-mouse-KVPGJ_ses-20180918-sample-2_slice-20180918-slice-2_cell-20180918-sample-2_icephys,sub-mouse-KVPGJ_ses-20180918-sample-2_slice-20180918-slice-2_cell-20180918-sample-2_icephys.nwb
20180918_sample_3,KVPGJ-3,sub-mouse-KVPGJ_ses-20180918-sample-3_slice-20180918-slice-3_cell-20180918-sample-3_icephys,sub-mouse-KVPGJ_ses-20180918-sample-3_slice-20180918-slice-3_cell-20180918-sample-3_icephys.nwb
20180920_sample_1,WZCRY-1,sub-mouse-WZCRY_ses-20180920-sample-1_slice-20180920-slice-1_cell-20180920-sample-1_icephys,sub-mouse-WZCRY_ses-20180920-sample-1_slice-20180920-slice-1_cell-20180920-sample-1_icephys.nwb
20180920_sample_2,WZCRY-2,sub-mouse-WZCRY_ses-20180920-sample-2_slice-20180920-slice-2_cell-20180920-sample-2_icephys,sub-mouse-WZCRY_ses-20180920-sample-2_slice-20180920-slice-2_cell-20180920-sample-2_icephys.nwb
20180920_sample_3,WZCRY-3,sub-mouse-WZCRY_ses-20180920-sample-3_slice-20180920-slice-3_cell-20180920-sample-3_icephys,sub-mouse-WZCRY_ses-20180920-sample-3_slice-20180920-slice-3_cell-20180920-sample-3_icephys.nwb
20180920_sample_4,WZCRY-4,sub-mouse-WZCRY_ses-20180920-sample-4_slice-20180920-slice-4_cell-20180920-sample-4_icephys,sub-mouse-WZCRY_ses-20180920-sample-4_slice-20180920-slice-4_cell-20180920-sample-4_icephys.nwb
20180921_sample_1,XMZGY-1,sub-mouse-XMZGY_ses-20180921-sample-1_slice-20180921-slice-1_cell-20180921-sample-1_icephys,sub-mouse-XMZGY_ses-20180921-sample-1_slice-20180921-slice-1_cell-20180921-sample-1_icephys.nwb
